iter	Passed	Remaining
0	57	57080
1	57	28626
2	57	19136
3	57	14396
4	58	11567
5	58	9668
6	58	8310
7	58	7290
8	59	6497
9	59	5863
10	59	5347
11	59	4915
12	59	4549
13	60	4235
14	60	3964
15	60	3726
16	60	3517
17	61	3330
18	61	3163
19	61	3013
20	61	2877
21	61	2753
22	62	2640
23	62	2538
24	62	2443
25	62	2355
26	63	2274
27	63	2198
28	63	2127
29	63	2061
30	63	2000
31	64	1942
32	64	1887
33	64	1836
34	64	1788
35	65	1742
36	65	1700
37	65	1659
38	65	1620
39	65	1583
40	66	1548
41	66	1514
42	66	1483
43	66	1452
44	67	1423
45	67	1395
46	67	1368
47	67	1344
48	68	1319
49	68	1296
50	68	1273
51	68	1251
52	68	1230
53	69	1209
54	69	1190
55	69	1171
56	69	1152
57	69	1135
58	70	1118
59	70	1101
60	70	1085
61	70	1070
62	70	1055
63	71	1040
64	71	1027
65	71	1013
66	71	1000
67	72	988
68	72	976
69	72	964
70	72	952
71	72	940
72	73	929
73	73	919
74	73	908
75	73	899
76	74	889
77	74	878
78	74	869
79	74	859
80	74	850
81	75	841
82	75	832
83	75	823
84	75	815
85	75	806
86	76	798
87	76	791
88	76	783
89	76	775
90	76	768
91	77	761
92	77	754
93	77	747
94	77	740
95	77	733
96	78	726
97	78	720
98	78	713
99	78	707
100	78	701
101	78	695
102	79	689
103	79	683
104	79	677
105	79	671
106	79	666
107	80	660
108	80	655
109	80	650
110	80	645
111	80	640
112	80	635
113	81	630
114	81	625
115	81	620
116	81	615
117	81	610
118	81	606
119	82	601
120	82	597
121	82	592
122	82	588
123	82	584
124	82	579
125	83	575
126	83	571
127	83	567
128	83	563
129	83	559
130	83	556
131	84	552
132	84	548
133	84	545
134	84	541
135	84	538
136	84	535
137	85	531
138	85	528
139	85	525
140	85	522
141	85	518
142	86	515
143	86	513
144	86	510
145	86	507
146	86	504
147	87	501
148	87	498
149	87	496
150	87	493
151	87	490
152	88	487
153	88	484
154	88	481
155	88	479
156	88	476
157	88	474
158	89	471
159	89	469
160	89	466
161	89	463
162	89	461
163	90	458
164	90	456
165	90	454
166	90	451
167	90	449
168	90	447
169	91	444
170	91	442
171	91	440
172	91	438
173	91	436
174	92	433
175	92	431
176	92	429
177	92	427
178	92	426
179	93	424
180	93	422
181	93	420
182	93	418
183	93	416
184	94	414
185	94	412
186	94	410
187	94	408
188	94	406
189	95	405
190	95	403
191	95	401
192	95	399
193	95	398
194	96	396
195	96	394
196	96	392
197	96	391
198	96	389
199	96	387
200	97	386
201	97	384
202	97	382
203	97	381
204	97	379
205	98	378
206	98	376
207	98	374
208	98	373
209	98	371
210	99	370
211	99	369
212	99	367
213	99	366
214	99	364
215	100	363
216	100	362
217	100	360
218	100	359
219	100	357
220	101	356
221	101	355
222	101	353
223	101	352
224	101	351
225	102	349
226	102	348
227	102	347
228	102	346
229	102	344
230	103	343
231	103	342
232	103	340
233	103	339
234	103	338
235	104	337
236	104	335
237	104	334
238	104	333
239	104	332
240	105	331
241	105	329
242	105	328
243	105	327
244	105	326
245	106	325
246	106	324
247	106	322
248	106	321
249	106	320
250	107	319
251	107	318
252	107	317
253	107	316
254	107	315
255	108	314
256	108	313
257	108	312
258	108	311
259	108	309
260	109	308
261	109	307
262	109	306
263	109	305
264	109	304
265	110	303
266	110	302
267	110	301
268	110	300
269	110	299
270	111	298
271	111	297
272	111	296
273	111	296
274	111	295
275	112	294
276	112	293
277	112	292
278	112	291
279	112	290
280	113	289
281	113	288
282	113	287
283	113	286
284	113	285
285	114	284
286	114	283
287	114	283
288	114	282
289	114	281
290	115	280
291	115	279
292	115	278
293	115	278
294	115	277
295	116	276
296	116	275
297	116	274
298	116	273
299	116	272
300	117	272
301	117	271
302	117	270
303	117	269
304	118	268
305	118	268
306	118	267
307	118	266
308	118	265
309	119	264
310	119	264
311	119	263
312	119	262
313	119	261
314	119	260
315	120	260
316	120	259
317	120	258
318	120	257
319	120	257
320	121	256
321	121	255
322	121	254
323	121	254
324	122	253
325	122	252
326	122	251
327	122	251
328	122	250
329	122	249
330	123	249
331	123	248
332	123	247
333	123	246
334	124	246
335	124	245
336	124	244
337	124	244
338	124	243
339	125	242
340	125	242
341	125	241
342	125	240
343	125	239
344	126	239
345	126	238
346	126	237
347	126	237
